date,beach_id,site,enterococci,water_temp_c,synthetic_flag,source_class
2025-02-23,palm-beach,Palm Beach,13,19.1,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-23,north-steyne,North Steyne,25,19.1,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-23,bondi,Bondi,12,19.1,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-23,coogee,Coogee,5,19.1,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-23,cronulla,Cronulla,8,19.1,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-23,balmoral,Balmoral,0,19.1,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-24,palm-beach,Palm Beach,2,19.2,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-24,north-steyne,North Steyne,3,19.2,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-24,bondi,Bondi,4,19.2,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-24,coogee,Coogee,0,19.2,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-24,cronulla,Cronulla,51,19.2,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-24,balmoral,Balmoral,16,19.2,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-25,palm-beach,Palm Beach,2,19.3,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-25,north-steyne,North Steyne,28,19.3,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-25,bondi,Bondi,10,19.3,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-25,coogee,Coogee,4,19.3,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-25,cronulla,Cronulla,2,19.3,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-25,balmoral,Balmoral,7,19.3,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-26,palm-beach,Palm Beach,19,19.3,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-26,north-steyne,North Steyne,9,19.3,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-26,bondi,Bondi,16,19.3,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-26,coogee,Coogee,0,19.3,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-26,cronulla,Cronulla,53,19.3,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-26,balmoral,Balmoral,2,19.3,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-27,palm-beach,Palm Beach,20,19.4,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-27,north-steyne,North Steyne,14,19.4,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-27,bondi,Bondi,9,19.4,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-27,coogee,Coogee,1,19.4,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-27,cronulla,Cronulla,4,19.4,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-27,balmoral,Balmoral,5,19.4,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-28,palm-beach,Palm Beach,18,19.4,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-28,north-steyne,North Steyne,3,19.4,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-28,bondi,Bondi,3,19.4,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-28,coogee,Coogee,11,19.4,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-28,cronulla,Cronulla,3,19.4,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-02-28,balmoral,Balmoral,4,19.4,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-01,palm-beach,Palm Beach,12,19.5,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-01,north-steyne,North Steyne,5,19.5,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-01,bondi,Bondi,8,19.5,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-01,coogee,Coogee,1,19.5,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-01,cronulla,Cronulla,3,19.5,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-01,balmoral,Balmoral,17,19.5,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-02,palm-beach,Palm Beach,6,19.6,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-02,north-steyne,North Steyne,10,19.6,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-02,bondi,Bondi,23,19.6,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-02,coogee,Coogee,18,19.6,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-02,cronulla,Cronulla,3,19.6,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-02,balmoral,Balmoral,5,19.6,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-03,palm-beach,Palm Beach,4,19.6,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-03,north-steyne,North Steyne,13,19.6,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-03,bondi,Bondi,18,19.6,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-03,coogee,Coogee,4,19.6,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-03,cronulla,Cronulla,11,19.6,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-03,balmoral,Balmoral,46,19.6,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-04,palm-beach,Palm Beach,4,19.7,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-04,north-steyne,North Steyne,8,19.7,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-04,bondi,Bondi,4,19.7,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-04,coogee,Coogee,1,19.7,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-04,cronulla,Cronulla,11,19.7,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-04,balmoral,Balmoral,7,19.7,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-05,palm-beach,Palm Beach,2,19.7,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-05,north-steyne,North Steyne,6,19.7,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-05,bondi,Bondi,10,19.7,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-05,coogee,Coogee,17,19.7,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-05,cronulla,Cronulla,2,19.7,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-05,balmoral,Balmoral,8,19.7,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-06,palm-beach,Palm Beach,0,19.8,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-06,north-steyne,North Steyne,7,19.8,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-06,bondi,Bondi,2,19.8,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-06,coogee,Coogee,3,19.8,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-06,cronulla,Cronulla,19,19.8,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-06,balmoral,Balmoral,57,19.8,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-07,palm-beach,Palm Beach,124,19.9,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-07,north-steyne,North Steyne,20,19.9,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-07,bondi,Bondi,12,19.9,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-07,coogee,Coogee,13,19.9,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-07,cronulla,Cronulla,24,19.9,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-07,balmoral,Balmoral,2,19.9,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-08,palm-beach,Palm Beach,1,19.9,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-08,north-steyne,North Steyne,14,19.9,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-08,bondi,Bondi,9,19.9,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-08,coogee,Coogee,10,19.9,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-08,cronulla,Cronulla,12,19.9,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-08,balmoral,Balmoral,14,19.9,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-09,palm-beach,Palm Beach,10,20.0,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-09,north-steyne,North Steyne,28,20.0,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-09,bondi,Bondi,17,20.0,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-09,coogee,Coogee,14,20.0,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-09,cronulla,Cronulla,11,20.0,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-09,balmoral,Balmoral,5,20.0,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-10,palm-beach,Palm Beach,27,20.0,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-10,north-steyne,North Steyne,11,20.0,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-10,bondi,Bondi,12,20.0,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-10,coogee,Coogee,9,20.0,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-10,cronulla,Cronulla,1,20.0,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-10,balmoral,Balmoral,1,20.0,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-11,palm-beach,Palm Beach,4,20.1,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-11,north-steyne,North Steyne,135,20.1,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-11,bondi,Bondi,2,20.1,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-11,coogee,Coogee,29,20.1,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-11,cronulla,Cronulla,29,20.1,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-11,balmoral,Balmoral,18,20.1,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-12,palm-beach,Palm Beach,3,20.2,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-12,north-steyne,North Steyne,8,20.2,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-12,bondi,Bondi,11,20.2,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-12,coogee,Coogee,12,20.2,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-12,cronulla,Cronulla,3,20.2,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-12,balmoral,Balmoral,7,20.2,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-13,palm-beach,Palm Beach,3,20.2,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-13,north-steyne,North Steyne,4,20.2,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-13,bondi,Bondi,4,20.2,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-13,coogee,Coogee,14,20.2,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-13,cronulla,Cronulla,1,20.2,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-13,balmoral,Balmoral,29,20.2,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-14,palm-beach,Palm Beach,8,20.3,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-14,north-steyne,North Steyne,3,20.3,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-14,bondi,Bondi,4,20.3,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-14,coogee,Coogee,1,20.3,true,SYNTHETIC_ENGINEERING_FIXTURE
2025-03-14,cronulla,Cronulla,9,20.3,true,SYNTHETIC_ENGINEERING_FIXTURE
